name,team,position,std,std_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,player_id,BYE
Cam Little,JAC,K,59.0,11,59.0,11,59.0,11,11786,8.0
Cameron Dicker,LAC,K,69.0,14,69.0,14,69.0,14,8259,12.0
Cedric Tillman,CLE,WR,83.0,74,109.0,73,135.0,70,10444,9.0
CeeDee Lamb,DAL,WR,177.0,3,232.0,2,287.0,2,6786,10.0
Chad Ryland,ARI,K,65.0,12,65.0,12,65.0,12,10955,8.0
Chase Brown,CIN,RB,169.0,15,192.0,15,216.0,15,9224,10.0
Chase McLaughlin,TB,K,63.0,10,63.0,10,63.0,10,6650,9.0
Chris Godwin,TB,WR,117.0,37,156.0,33,194.0,29,4037,9.0
Chris Olave,NO,WR,125.0,32,164.0,28,204.0,23,8144,11.0
Christian Kirk,HOU,WR,98.0,53,127.0,53,155.0,53,4950,6.0
Christian McCaffrey,SF,RB,221.0,5,253.0,3,284.0,3,4034,14.0
Christian Watson,GB,WR,71.0,78,0.0,0,0.0,0,8167,5.0
Chuba Hubbard,CAR,RB,175.0,17,194.0,19,214.0,19,7594,14.0
Cole Kmet,CHI,TE,58.0,29,77.0,29,97.0,29,6826,5.0
Colston Loveland,CHI,TE,73.0,16,99.0,17,125.0,18,12517,5.0
Cooper Kupp,SEA,WR,104.0,52,140.0,52,176.0,49,4039,8.0
Courtland Sutton,DEN,WR,138.0,23,175.0,24,211.0,27,5045,12.0
D'Andre Swift,CHI,RB,160.0,30,179.0,27,198.0,26,6790,5.0
Dak Prescott,DAL,QB,278.0,12,278.0,12,278.0,12,3294,10.0
Dallas Goedert,PHI,TE,87.0,13,118.0,13,148.0,14,5022,9.0
Dalton Kincaid,BUF,TE,89.0,11,120.0,10,151.0,10,10236,7.0
Dalton Schultz,HOU,TE,72.0,26,98.0,25,124.0,25,5001,6.0
Darius Slayton,NYG,WR,70.0,76,89.0,77,108.0,76,6149,14.0
Darnell Mooney,ATL,WR,110.0,45,140.0,44,171.0,46,7090,5.0
Davante Adams,LAR,WR,159.0,16,201.0,16,243.0,16,2133,8.0
David Montgomery,DET,RB,173.0,20,188.0,20,204.0,20,5892,8.0
David Njoku,CLE,TE,102.0,8,137.0,9,173.0,8,4033,9.0
De'Von Achane,MIA,RB,201.0,11,234.0,8,267.0,6,9226,12.0
DeVonta Smith,PHI,WR,132.0,30,172.0,26,211.0,24,7525,9.0
Deebo Samuel,WAS,WR,121.0,33,153.0,35,186.0,36,5872,12.0
Derrick Henry,BAL,RB,251.0,2,260.0,4,269.0,8,3198,7.0
Diontae Johnson,CLE,WR,73.0,68,97.0,65,122.0,61,5937,9.0
Drake London,ATL,WR,164.0,10,210.0,10,256.0,10,8112,5.0
Drake Maye,NE,QB,281.0,15,281.0,15,281.0,15,11564,14.0
Dustin Hopkins,CLE,K,53.0,16,0.0,0,0.0,0,1348,9.0
Elijah Arroyo,SEA,TE,23.0,31,31.0,31,40.0,31,12521,8.0
Emeka Egbuka,TB,WR,80.0,65,103.0,64,127.0,62,12514,9.0
Evan Engram,DEN,TE,81.0,20,117.0,15,152.0,13,4066,12.0
Evan McPherson,CIN,K,66.0,4,66.0,4,66.0,4,7839,10.0
Garrett Wilson,NYJ,WR,128.0,29,171.0,21,213.0,17,8146,9.0
George Kittle,SF,TE,141.0,2,178.0,3,215.0,3,4217,14.0
George Pickens,DAL,WR,124.0,26,157.0,31,190.0,32,8137,10.0
Harrison Butker,KC,K,74.0,8,74.0,8,74.0,8,4227,10.0
Hunter Henry,NE,TE,81.0,21,108.0,24,135.0,24,3214,14.0
Isaac Guerendo,SF,RB,85.0,47,92.0,50,99.0,52,11651,14.0
Isaiah Likely,BAL,TE,82.0,15,104.0,18,125.0,20,8131,7.0
Isiah Pacheco,KC,RB,147.0,24,165.0,24,182.0,23,8205,10.0
J.J. McCarthy,MIN,QB,283.0,21,283.0,21,283.0,21,11565,6.0
J.K. Dobbins,UNS,RB,101.0,36,111.0,37,120.0,39,6806,N/A
Ja'Marr Chase,CIN,WR,203.0,1,260.0,1,316.0,1,7564,10.0
Ja'Tavion Sanders,CAR,TE,52.0,33,71.0,33,90.0,32,11600,14.0
Jack Bech,LVR,WR,86.0,63,114.0,62,141.0,63,12483,8.0
Jahmyr Gibbs,DET,RB,237.0,6,262.0,5,287.0,4,9221,8.0
Jake Bates,DET,K,81.0,2,81.0,2,81.0,2,11539,8.0
Jake Elliott,PHI,K,65.0,9,65.0,9,65.0,9,4195,9.0
Jake Ferguson,DAL,TE,90.0,14,125.0,12,159.0,11,8110,10.0
Jake Moody,SF,K,59.0,15,59.0,15,59.0,15,10937,14.0
Jakobi Meyers,LVR,WR,116.0,40,155.0,37,194.0,35,5947,8.0
Jalen Coker,CAR,WR,69.0,70,90.0,69,111.0,72,11646,14.0
Jalen Hurts,PHI,QB,361.0,4,361.0,4,361.0,4,6904,9.0
Jalen McMillan,TB,WR,72.0,69,92.0,72,111.0,75,11618,9.0
James Conner,ARI,RB,185.0,18,205.0,18,225.0,18,4137,8.0
James Cook,BUF,RB,196.0,13,214.0,16,231.0,16,8138,7.0
Jameson Williams,DET,WR,126.0,22,155.0,32,184.0,34,8148,8.0
Jared Goff,DET,QB,281.0,17,281.0,17,281.0,16,3163,8.0
Jason Sanders,MIA,K,59.0,13,59.0,13,59.0,13,5119,12.0
Jauan Jennings,SF,WR,122.0,39,157.0,40,192.0,38,7049,14.0
Javonte Williams,DAL,RB,127.0,40,147.0,40,166.0,40,7588,10.0
Jaxon Smith-Njigba,SEA,WR,129.0,28,173.0,23,217.0,20,9488,8.0
Jayden Daniels,WAS,QB,362.0,2,362.0,2,362.0,2,11566,12.0
Jayden Higgins,HOU,WR,95.0,54,122.0,55,148.0,55,12484,6.0
Jayden Reed,GB,WR,112.0,34,140.0,39,169.0,41,10222,5.0
Jaydon Blue,DAL,RB,61.0,50,68.0,45,75.0,45,12457,10.0
Jaylen Waddle,MIA,WR,117.0,31,154.0,30,191.0,31,7526,12.0
Jaylen Warren,PIT,RB,137.0,33,161.0,31,185.0,29,8228,5.0
Jaylen Wright,MIA,RB,70.0,49,76.0,52,81.0,54,11643,12.0
Jerry Jeudy,CLE,WR,125.0,41,163.0,42,201.0,42,6783,9.0
Joe Burrow,CIN,QB,345.0,5,345.0,5,345.0,5,6770,10.0
Joe Mixon,HOU,RB,193.0,10,213.0,10,234.0,10,4018,6.0
Jonathan Taylor,IND,RB,224.0,4,237.0,6,250.0,7,6813,11.0
Jonnu Smith,MIA,TE,106.0,6,142.0,6,179.0,6,4144,12.0
Jordan Addison,MIN,WR,122.0,35,156.0,36,190.0,39,9756,6.0
Jordan Love,GB,QB,272.0,18,272.0,18,272.0,18,6804,5.0
Jordan Mason,MIN,RB,97.0,38,106.0,41,114.0,43,8408,6.0
Josh Allen,BUF,QB,356.0,3,356.0,3,356.0,3,2212,7.0
Josh Allen,BUF,QB,356.0,3,356.0,3,356.0,3,4984,7.0
Josh Downs,IND,WR,98.0,49,130.0,48,162.0,44,9500,11.0
Josh Jacobs,GB,RB,213.0,9,232.0,9,251.0,12,5850,5.0
Joshua Karty,LAR,K,58.0,17,0.0,0,0.0,0,11789,8.0
Joshua Palmer,BUF,WR,78.0,59,101.0,60,124.0,60,7670,7.0
Justin Fields,NYJ,QB,295.0,13,295.0,13,295.0,13,7591,9.0
Justin Herbert,LAC,QB,291.0,10,291.0,10,291.0,10,6797,12.0
Justin Jefferson,MIN,WR,194.0,2,246.0,3,298.0,4,6794,6.0
Justin Tucker,BAL,K,63.0,3,63.0,3,63.0,3,1264,7.0
Juwan Johnson,NO,TE,68.0,25,92.0,26,115.0,27,7002,11.0
Kaleb Johnson,PIT,RB,129.0,29,140.0,30,151.0,32,2967,5.0
Kaleb Johnson,PIT,RB,129.0,29,140.0,30,151.0,32,12504,5.0
Keenan Allen,UNS,WR,85.0,61,113.0,54,142.0,54,1479,N/A
Keon Coleman,BUF,WR,117.0,44,142.0,47,167.0,51,11637,7.0
Khalil Shakir,BUF,WR,111.0,43,150.0,41,188.0,37,8134,7.0
Kyle Pitts,ATL,TE,78.0,18,102.0,20,125.0,23,7553,5.0
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,7437,14.0
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,94,14.0
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,12547,14.0
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,638,14.0
Kyler Murray,ARI,QB,301.0,7,301.0,7,301.0,7,5849,8.0
Kyren Williams,LAR,RB,206.0,8,222.0,11,238.0,14,8150,8.0
Ladd McConkey,LAC,WR,157.0,14,201.0,14,245.0,14,11635,12.0
Lamar Jackson,BAL,QB,361.0,1,361.0,1,361.0,1,4881,7.0
Lamar Jackson,BAL,QB,361.0,1,361.0,1,361.0,1,6994,7.0
Malik Nabers,NYG,WR,167.0,7,218.0,6,270.0,5,11632,14.0
Mark Andrews,BAL,TE,106.0,5,135.0,7,164.0,9,5012,7.0
Mason Taylor,NYJ,TE,55.0,28,76.0,28,97.0,28,12498,9.0
Matt Gay,WAS,K,66.0,6,66.0,6,66.0,6,6083,12.0
Matthew Golden,GB,WR,114.0,57,143.0,58,172.0,59,12501,5.0
Michael Wilson,ARI,WR,83.0,71,107.0,71,131.0,74,10232,8.0
Mike Evans,TB,WR,147.0,13,185.0,13,224.0,15,2216,9.0
Mike Gesicki,CIN,TE,74.0,22,102.0,22,129.0,21,4993,10.0
Mike Williams,LAC,WR,65.0,77,83.0,78,102.0,79,4068,12.0
Mike Williams,LAC,WR,65.0,77,83.0,78,102.0,79,748,12.0
Najee Harris,LAC,RB,109.0,34,120.0,33,132.0,35,7528,12.0
Nico Collins,HOU,WR,184.0,5,229.0,5,274.0,6,7569,6.0
Omarion Hampton,LAC,RB,169.0,22,187.0,23,205.0,25,12507,12.0
Pat Freiermuth,PIT,TE,83.0,17,112.0,16,142.0,16,7600,5.0
Patrick Mahomes,KC,QB,318.0,6,318.0,6,318.0,6,4046,10.0
Puka Nacua,LAR,WR,174.0,4,226.0,4,278.0,3,9493,8.0
Quentin Johnston,LAC,WR,87.0,62,110.0,63,133.0,65,9754,12.0
Quinshon Judkins,CLE,RB,145.0,21,160.0,22,175.0,24,12512,9.0
RJ Harvey,DEN,RB,148.0,27,167.0,28,186.0,28,12489,12.0
Rachaad White,TB,RB,89.0,42,106.0,42,124.0,41,8136,9.0
Rashee Rice,KC,WR,135.0,15,177.0,15,220.0,13,10229,10.0
Rashid Shaheed,NO,WR,117.0,42,146.0,43,175.0,45,8676,11.0
Rashod Bateman,BAL,WR,99.0,56,121.0,61,144.0,66,7571,7.0
Ray Davis,BUF,RB,77.0,48,83.0,48,90.0,46,11575,7.0
Rhamondre Stevenson,NE,RB,119.0,43,133.0,44,147.0,44,7611,14.0
Ricky Pearsall,SF,WR,108.0,46,138.0,45,167.0,47,11638,14.0
Rome Odunze,CHI,WR,114.0,38,146.0,38,178.0,40,11620,5.0
Romeo Doubs,GB,WR,86.0,58,111.0,57,135.0,57,8121,5.0
Roschon Johnson,CHI,RB,0.0,0,89.0,49,102.0,47,10235,5.0
Sam LaPorta,DET,TE,120.0,4,155.0,4,190.0,4,10859,8.0
Saquon Barkley,PHI,RB,261.0,1,279.0,1,298.0,2,4866,9.0
Stefon Diggs,NE,WR,94.0,48,129.0,46,163.0,43,2449,14.0
T.J. Hockenson,MIN,TE,102.0,9,138.0,8,175.0,7,5844,6.0
Tank Bigsby,JAC,RB,104.0,31,111.0,34,117.0,38,9225,8.0
Tee Higgins,CIN,WR,167.0,9,212.0,11,256.0,11,6801,10.0
Terrance Ferguson,LAR,TE,27.0,32,37.0,32,47.0,35,12487,8.0
Terry McLaurin,WAS,WR,145.0,17,185.0,17,224.0,21,5927,12.0
Tetairoa McMillan,CAR,WR,118.0,24,153.0,25,187.0,28,12526,14.0
Theo Johnson,NYG,TE,59.0,30,81.0,30,102.0,30,11597,14.0
Tony Pollard,TEN,RB,155.0,25,174.0,25,193.0,22,5967,10.0
Travis Etienne,JAC,RB,118.0,32,139.0,32,160.0,31,7543,8.0
Travis Hunter,JAC,WR,107.0,27,141.0,29,175.0,30,12530,8.0
Travis Kelce,KC,TE,110.0,7,151.0,5,193.0,5,1466,10.0
Tre Harris,LAC,WR,84.0,64,108.0,66,133.0,67,12509,12.0
TreVeyon Henderson,NE,RB,135.0,26,151.0,26,167.0,27,12529,14.0
Trevor Lawrence,JAC,QB,285.0,14,285.0,14,285.0,14,7523,8.0
Trey Benson,ARI,RB,79.0,51,87.0,51,95.0,51,11589,8.0
Trey McBride,ARI,TE,142.0,3,195.0,2,247.0,2,8130,8.0
Tua Tagovailoa,MIA,QB,269.0,20,269.0,20,269.0,20,6768,12.0
Tucker Kraft,GB,TE,96.0,10,123.0,11,151.0,12,9484,5.0
Tyjae Spears,TEN,RB,98.0,39,116.0,38,134.0,36,9508,10.0
Tyler Allgeier,ATL,RB,86.0,46,92.0,47,99.0,50,8132,5.0
Tyler Bass,BUF,K,67.0,5,67.0,5,67.0,5,7042,7.0
Tyler Loop,BAL,K,83.0,7,83.0,7,83.0,7,12711,7.0
Tyler Warren,IND,TE,74.0,12,99.0,14,125.0,15,12518,11.0
Tyreek Hill,MIA,WR,147.0,12,191.0,12,235.0,12,3321,12.0
Wan'Dale Robinson,NYG,WR,0.0,0,115.0,75,151.0,64,8126,14.0
Xavier Legette,CAR,WR,76.0,66,102.0,68,127.0,69,11626,14.0
Xavier Worthy,KC,WR,141.0,19,178.0,18,215.0,18,11624,10.0
Younghoe Koo,ATL,K,76.0,1,76.0,1,76.0,1,4666,5.0
Zach Charbonnet,SEA,RB,92.0,44,110.0,43,128.0,42,9753,8.0
Zach Ertz,WAS,TE,78.0,19,107.0,19,135.0,17,1339,12.0
Zay Flowers,BAL,WR,130.0,25,166.0,27,202.0,26,9997,7.0
