name,team,position,non_ppr,non_ppr_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,sleeper_id
Dallas Goedert,PHI,TE,87.0,13,118.0,13,148.0,14,5022
Dalton Kincaid,BUF,TE,89.0,11,120.0,10,151.0,10,10236
Dalton Schultz,HOU,TE,72.0,26,98.0,25,124.0,25,5001
Darius Slayton,NYG,WR,70.0,76,89.0,77,108.0,76,6149
Darnell Mooney,ATL,WR,110.0,45,140.0,44,171.0,46,7090
Davante Adams,LAR,WR,159.0,16,201.0,16,243.0,16,2133
David Montgomery,DET,RB,173.0,20,188.0,20,204.0,20,5892
David Njoku,CLE,TE,102.0,8,137.0,9,173.0,8,4033
De'Von Achane,MIA,RB,201.0,11,234.0,8,267.0,6,9226
DeVonta Smith,PHI,WR,132.0,30,172.0,26,211.0,24,7525
Deebo Samuel,WAS,WR,121.0,33,153.0,35,186.0,36,5872
Derrick Henry,BAL,RB,251.0,2,260.0,4,269.0,8,3198
Diontae Johnson,CLE,WR,73.0,68,97.0,65,122.0,61,5937
Drake London,ATL,WR,164.0,10,210.0,10,256.0,10,8112
Drake Maye,NE,QB,281.0,15,281.0,15,281.0,15,11564
Dustin Hopkins,CLE,K,53.0,16,0.0,0,0.0,0,1348
Elijah Arroyo,SEA,TE,23.0,31,31.0,31,40.0,31,12521
Emeka Egbuka,TB,WR,80.0,65,103.0,64,127.0,62,12514
Evan Engram,DEN,TE,81.0,20,117.0,15,152.0,13,4066
Evan McPherson,CIN,K,66.0,4,66.0,4,66.0,4,7839
Garrett Wilson,NYJ,WR,128.0,29,171.0,21,213.0,17,8146
George Kittle,SF,TE,141.0,2,178.0,3,215.0,3,4217
George Pickens,DAL,WR,124.0,26,157.0,31,190.0,32,8137
Harrison Butker,KC,K,74.0,8,74.0,8,74.0,8,4227
Hunter Henry,NE,TE,81.0,21,108.0,24,135.0,24,3214
Isaac Guerendo,SF,RB,85.0,47,92.0,50,99.0,52,11651
Isaiah Likely,BAL,TE,82.0,15,104.0,18,125.0,20,8131
Isiah Pacheco,KC,RB,147.0,24,165.0,24,182.0,23,8205
J.J. McCarthy,MIN,QB,283.0,21,283.0,21,283.0,21,11565
J.K. Dobbins,UNS,RB,101.0,36,111.0,37,120.0,39,6806
Ja'Marr Chase,CIN,WR,203.0,1,260.0,1,316.0,1,7564
Ja'Tavion Sanders,CAR,TE,52.0,33,71.0,33,90.0,32,11600
Jack Bech,LVR,WR,86.0,63,114.0,62,141.0,63,12483
Jahmyr Gibbs,DET,RB,237.0,6,262.0,5,287.0,4,9221
Jake Bates,DET,K,81.0,2,81.0,2,81.0,2,11539
Jake Elliott,PHI,K,65.0,9,65.0,9,65.0,9,4195
Jake Ferguson,DAL,TE,90.0,14,125.0,12,159.0,11,8110
Jake Moody,SF,K,59.0,15,59.0,15,59.0,15,10937
Jakobi Meyers,LVR,WR,116.0,40,155.0,37,194.0,35,5947
Jalen Coker,CAR,WR,69.0,70,90.0,69,111.0,72,11646
Jalen Hurts,PHI,QB,361.0,4,361.0,4,361.0,4,6904
Jalen McMillan,TB,WR,72.0,69,92.0,72,111.0,75,11618
James Conner,ARI,RB,185.0,18,205.0,18,225.0,18,4137
James Cook,BUF,RB,196.0,13,214.0,16,231.0,16,8138
Jameson Williams,DET,WR,126.0,22,155.0,32,184.0,34,8148
Jared Goff,DET,QB,281.0,17,281.0,17,281.0,16,3163
Jason Sanders,MIA,K,59.0,13,59.0,13,59.0,13,5119
Jauan Jennings,SF,WR,122.0,39,157.0,40,192.0,38,7049
Javonte Williams,DAL,RB,127.0,40,147.0,40,166.0,40,7588
Jaxon Smith-Njigba,SEA,WR,129.0,28,173.0,23,217.0,20,9488
Jayden Daniels,WAS,QB,362.0,2,362.0,2,362.0,2,11566
Jayden Higgins,HOU,WR,95.0,54,122.0,55,148.0,55,12484
Jayden Reed,GB,WR,112.0,34,140.0,39,169.0,41,10222
Jaydon Blue,DAL,RB,61.0,50,68.0,45,75.0,45,12457
Jaylen Waddle,MIA,WR,117.0,31,154.0,30,191.0,31,7526
Jaylen Warren,PIT,RB,137.0,33,161.0,31,185.0,29,8228
Jaylen Wright,MIA,RB,70.0,49,76.0,52,81.0,54,11643
Jerry Jeudy,CLE,WR,125.0,41,163.0,42,201.0,42,6783
Joe Burrow,CIN,QB,345.0,5,345.0,5,345.0,5,6770
Joe Mixon,HOU,RB,193.0,10,213.0,10,234.0,10,4018
Jonathan Taylor,IND,RB,224.0,4,237.0,6,250.0,7,6813
Jonnu Smith,MIA,TE,106.0,6,142.0,6,179.0,6,4144
Jordan Addison,MIN,WR,122.0,35,156.0,36,190.0,39,9756
Jordan Love,GB,QB,272.0,18,272.0,18,272.0,18,6804
Jordan Mason,MIN,RB,97.0,38,106.0,41,114.0,43,8408
Josh Allen,BUF,QB,356.0,3,356.0,3,356.0,3,2212
Josh Allen,BUF,QB,356.0,3,356.0,3,356.0,3,4984
Josh Downs,IND,WR,98.0,49,130.0,48,162.0,44,9500
Josh Jacobs,GB,RB,213.0,9,232.0,9,251.0,12,5850
Joshua Karty,LAR,K,58.0,17,0.0,0,0.0,0,11789
Joshua Palmer,BUF,WR,78.0,59,101.0,60,124.0,60,7670
Justin Fields,NYJ,QB,295.0,13,295.0,13,295.0,13,7591
Justin Herbert,LAC,QB,291.0,10,291.0,10,291.0,10,6797
Justin Jefferson,MIN,WR,194.0,2,246.0,3,298.0,4,6794
Justin Tucker,BAL,K,63.0,3,63.0,3,63.0,3,1264
Juwan Johnson,NO,TE,68.0,25,92.0,26,115.0,27,7002
Kaleb Johnson,PIT,RB,129.0,29,140.0,30,151.0,32,2967
Kaleb Johnson,PIT,RB,129.0,29,140.0,30,151.0,32,12504
Keenan Allen,UNS,WR,85.0,61,113.0,54,142.0,54,1479
Keon Coleman,BUF,WR,117.0,44,142.0,47,167.0,51,11637
Khalil Shakir,BUF,WR,111.0,43,150.0,41,188.0,37,8134
Kyle Pitts,ATL,TE,78.0,18,102.0,20,125.0,23,7553
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,7437
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,94
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,12547
Kyle Williams,NE,WR,59.0,67,76.0,67,93.0,68,638
Kyler Murray,ARI,QB,301.0,7,301.0,7,301.0,7,5849
Kyren Williams,LAR,RB,206.0,8,222.0,11,238.0,14,8150
Ladd McConkey,LAC,WR,157.0,14,201.0,14,245.0,14,11635
Lamar Jackson,BAL,QB,361.0,1,361.0,1,361.0,1,4881
Lamar Jackson,BAL,QB,361.0,1,361.0,1,361.0,1,6994
Malik Nabers,NYG,WR,167.0,7,218.0,6,270.0,5,11632
Mark Andrews,BAL,TE,106.0,5,135.0,7,164.0,9,5012
Mason Taylor,NYJ,TE,55.0,28,76.0,28,97.0,28,12498
Matt Gay,WAS,K,66.0,6,66.0,6,66.0,6,6083
Matthew Golden,GB,WR,114.0,57,143.0,58,172.0,59,12501
Michael Wilson,ARI,WR,83.0,71,107.0,71,131.0,74,10232
Mike Evans,TB,WR,147.0,13,185.0,13,224.0,15,2216
Mike Gesicki,CIN,TE,74.0,22,102.0,22,129.0,21,4993
Mike Williams,LAC,WR,65.0,77,83.0,78,102.0,79,4068
Mike Williams,LAC,WR,65.0,77,83.0,78,102.0,79,748
Najee Harris,LAC,RB,109.0,34,120.0,33,132.0,35,7528
Nico Collins,HOU,WR,184.0,5,229.0,5,274.0,6,7569
Omarion Hampton,LAC,RB,169.0,22,187.0,23,205.0,25,12507
Pat Freiermuth,PIT,TE,83.0,17,112.0,16,142.0,16,7600
Patrick Mahomes,KC,QB,318.0,6,318.0,6,318.0,6,4046
Puka Nacua,LAR,WR,174.0,4,226.0,4,278.0,3,9493
Quentin Johnston,LAC,WR,87.0,62,110.0,63,133.0,65,9754
Quinshon Judkins,CLE,RB,145.0,21,160.0,22,175.0,24,12512
RJ Harvey,DEN,RB,148.0,27,167.0,28,186.0,28,12489
Rachaad White,TB,RB,89.0,42,106.0,42,124.0,41,8136
Rashee Rice,KC,WR,135.0,15,177.0,15,220.0,13,10229
Rashid Shaheed,NO,WR,117.0,42,146.0,43,175.0,45,8676
Rashod Bateman,BAL,WR,99.0,56,121.0,61,144.0,66,7571
Ray Davis,BUF,RB,77.0,48,83.0,48,90.0,46,11575
Rhamondre Stevenson,NE,RB,119.0,43,133.0,44,147.0,44,7611
Ricky Pearsall,SF,WR,108.0,46,138.0,45,167.0,47,11638
Rome Odunze,CHI,WR,114.0,38,146.0,38,178.0,40,11620
Romeo Doubs,GB,WR,86.0,58,111.0,57,135.0,57,8121
Roschon Johnson,CHI,RB,0.0,0,89.0,49,102.0,47,10235
Sam LaPorta,DET,TE,120.0,4,155.0,4,190.0,4,10859
Saquon Barkley,PHI,RB,261.0,1,279.0,1,298.0,2,4866
Stefon Diggs,NE,WR,94.0,48,129.0,46,163.0,43,2449
T.J. Hockenson,MIN,TE,102.0,9,138.0,8,175.0,7,5844
Tank Bigsby,JAC,RB,104.0,31,111.0,34,117.0,38,9225
Tee Higgins,CIN,WR,167.0,9,212.0,11,256.0,11,6801
Terrance Ferguson,LAR,TE,27.0,32,37.0,32,47.0,35,12487
Terry McLaurin,WAS,WR,145.0,17,185.0,17,224.0,21,5927
Tetairoa McMillan,CAR,WR,118.0,24,153.0,25,187.0,28,12526
Theo Johnson,NYG,TE,59.0,30,81.0,30,102.0,30,11597
Tony Pollard,TEN,RB,155.0,25,174.0,25,193.0,22,5967
Travis Etienne,JAC,RB,118.0,32,139.0,32,160.0,31,7543
Travis Hunter,JAC,WR,107.0,27,141.0,29,175.0,30,12530
Travis Kelce,KC,TE,110.0,7,151.0,5,193.0,5,1466
Tre Harris,LAC,WR,84.0,64,108.0,66,133.0,67,12509
TreVeyon Henderson,NE,RB,135.0,26,151.0,26,167.0,27,12529
Trevor Lawrence,JAC,QB,285.0,14,285.0,14,285.0,14,7523
Trey Benson,ARI,RB,79.0,51,87.0,51,95.0,51,11589
Trey McBride,ARI,TE,142.0,3,195.0,2,247.0,2,8130
Tua Tagovailoa,MIA,QB,269.0,20,269.0,20,269.0,20,6768
Tucker Kraft,GB,TE,96.0,10,123.0,11,151.0,12,9484
Tyjae Spears,TEN,RB,98.0,39,116.0,38,134.0,36,9508
Tyler Allgeier,ATL,RB,86.0,46,92.0,47,99.0,50,8132
Tyler Bass,BUF,K,67.0,5,67.0,5,67.0,5,7042
Tyler Loop,BAL,K,83.0,7,83.0,7,83.0,7,12711
Tyler Warren,IND,TE,74.0,12,99.0,14,125.0,15,12518
Tyreek Hill,MIA,WR,147.0,12,191.0,12,235.0,12,3321
Wan'Dale Robinson,NYG,WR,0.0,0,115.0,75,151.0,64,8126
Xavier Legette,CAR,WR,76.0,66,102.0,68,127.0,69,11626
Xavier Worthy,KC,WR,141.0,19,178.0,18,215.0,18,11624
Younghoe Koo,ATL,K,76.0,1,76.0,1,76.0,1,4666
Zach Charbonnet,SEA,RB,92.0,44,110.0,43,128.0,42,9753
Zach Ertz,WAS,TE,78.0,19,107.0,19,135.0,17,1339
Zay Flowers,BAL,WR,130.0,25,166.0,27,202.0,26,9997
